platform,post_type,post_time,publish_hour,post_day,region,category,title,title_length,description_length,tags,creator_followers,likes,dislikes,comments,shares,views,engagement_rate,sentiment_score,viral_label,video_length,date,time,views_s,likes_s,engagement_rate_s,video_length_s
Twitter,carousel,2024-09-28 17:00:00,17,Saturday,Japan,Sports,Cricket World Cup Updates,2,239,#sports #football,3761683,63,1626,66,395,2016,0.25979177,neutral,0,10,2024-09-28,17:00:00,0.004020461276137486,0.012355363796822906,0.00019967388938340398,0.016666666666666666
Facebook,poll,2022-07-05 03:00:00,3,Sunday,US,Comedy,Movie Review,2,95,#sports #highlights,5730082,167,789,176,234,10521,0.054837483,negative,0,58,2022-07-05,03:00:00,0.020981782284842505,0.0327515199058639,3.5577817494424844e-05,0.09666666666666668
Instagram,story,2023-01-31 00:00:00,0,Friday,Germany,Music,Daily Vlog,2,94,#fitness #motivation,2893342,3474,612,251,602,229284,0.01887171,negative,1,45,2023-01-31,00:00:00,0.45725567620927937,0.6813100607962346,6.7819227701017274e-06,0.07500000000000001
Facebook,carousel,2024-06-04 04:00:00,4,Tuesday,Japan,News,Fitness Motivation,2,160,#sports #highlights,104828,2037,1178,478,626,169071,0.018577884,neutral,0,28,2024-06-04,04:00:00,0.3371743097310718,0.399490096097274,6.546671811829011e-06,0.04666666666666667
YouTube,image,2022-06-23 18:00:00,18,Saturday,Canada,Education,Top 10 Facts,3,284,#funny #viral,7224420,475,888,124,317,34200,0.026782843,negative,0,0,2022-06-23,18:00:00,0.06820425379161806,0.09315552069033144,1.3115949096134496e-05,0.0
Facebook,story,2022-06-22 20:00:00,20,Monday,India,Gaming,Beginner’s Guide to eSports,2,134,#gamers #play,5447920,170,348,167,66,16320,0.024692114,positive,0,6,2022-06-22,20:00:00,0.03254659128301774,0.033339870562855464,1.1442012818410414e-05,0.01
Instagram,carousel,2024-09-20 05:00:00,5,Tuesday,Germany,Education,Funny Moments,2,24,#sports #highlights,7128470,3154,1474,161,165,299630,0.011614286,neutral,1,13,2024-09-20,05:00:00,0.5975450457187871,0.6185526573838007,9.712867113751154e-07,0.021666666666666667
Twitter,carousel,2024-07-30 09:00:00,9,Sunday,India,Education,Travel Diary,2,161,#education #learning,5863306,2082,1899,390,177,131166,0.020195628,positive,0,20,2024-07-30,09:00:00,0.2615812617786952,0.40831535595214746,7.841913983181907e-06,0.03333333333333333
TikTok,image,2022-01-02 13:00:00,13,Friday,Australia,Fashion,Casual Style Hacks,3,277,#outfitideas #trend,9510550,1740,1676,196,264,81780,0.026901114,mixed,0,0,2022-01-02,13:00:00,0.1630919261718867,0.3412433810551088,1.3210642438744993e-05,0.0
Instagram,live,2023-01-09 05:00:00,5,Wednesday,Australia,Comedy,Daily Vlog,2,291,#tech #review,7950385,3866,1196,403,465,81186,0.058309828,negative,1,54,2023-01-09,05:00:00,0.16190732597445331,0.758187879976466,3.8357940726213296e-05,0.09000000000000001
Twitter,reel,2023-05-18 21:00:00,21,Thursday,Australia,Fashion,Summer Outfit Trends,2,219,#outfitideas #trend,3486323,3158,9,170,114,240008,0.014341129,negative,1,19,2023-05-18,21:00:00,0.478642296608733,0.6193371249264562,3.1545258692755294e-06,0.03166666666666667
Twitter,live,2023-03-21 00:00:00,0,Monday,Australia,Comedy,Tech Review,2,152,#sports #highlights,6081330,2038,739,32,422,154888,0.016088941,neutral,0,13,2023-03-21,00:00:00,0.3088894871718169,0.3996862129829378,4.55390661801986e-06,0.021666666666666667
LinkedIn,live,2022-07-20 06:00:00,6,Wednesday,UK,Education,Top 10 Facts,3,140,#music #trending,2300728,4215,1288,43,92,223395,0.019472148,mixed,1,47,2022-07-20,06:00:00,0.44551138233270515,0.8266326730731516,7.262661761488988e-06,0.07833333333333334
YouTube,live,2022-07-21 19:00:00,19,Thursday,US,Education,Funny Moments,2,288,#education #learning,3378158,3012,1461,143,541,231924,0.015936186,neutral,1,25,2022-07-21,19:00:00,0.4625205659756499,0.5907040596195332,4.431603758058699e-06,0.04166666666666667
LinkedIn,carousel,2023-07-29 04:00:00,4,Wednesday,Canada,Travel,Top Beaches to Visit,3,71,#travel #explore,3744989,4912,1783,398,663,348752,0.017126734,mixed,1,9,2023-07-29,04:00:00,0.6955078923489585,0.963326142380859,5.3848126567595106e-06,0.015000000000000001
TikTok,article,2022-01-05 19:00:00,19,Sunday,UK,Fashion,Streetwear Collection 2024,2,249,#streetwear #style,8313212,3331,1270,241,600,159888,0.026093102,neutral,0,0,2022-01-05,19:00:00,0.3188608693050944,0.6532653461463032,1.2563709909643233e-05,0.0
Instagram,live,2024-10-03 04:00:00,4,Tuesday,Canada,Comedy,Top 10 Facts,3,67,#sports #highlights,5005329,3114,666,89,268,168156,0.020641424,neutral,0,43,2024-10-03,04:00:00,0.3353495468006821,0.6107079819572465,8.198839293379587e-06,0.07166666666666667
LinkedIn,poll,2023-11-26 06:00:00,6,Tuesday,Australia,Sports,Olympics Moments,2,24,#cricket #worldcup,9583256,3043,545,104,967,286042,0.014382453,negative,1,28,2023-11-26,06:00:00,0.5704468176333922,0.5967836830751128,3.1876118133365094e-06,0.04666666666666667
TikTok,article,2023-12-03 13:00:00,13,Thursday,Germany,Sports,Basketball Training Tips,2,164,#sports #football,5045292,315,1522,92,467,21105,0.041410026,negative,0,0,2023-12-03,13:00:00,0.042089203984564304,0.06177681898411453,2.482716191453851e-05,0.0
Twitter,live,2024-03-27 13:00:00,13,Thursday,Germany,News,Exploring New Trends,3,136,#sports #highlights,7983410,73,128,295,891,3796,0.331577561,mixed,0,52,2024-03-27,13:00:00,0.007570273315584274,0.014316532653461462,0.0002571489805023482,0.08666666666666667
Instagram,carousel,2024-05-28 15:00:00,15,Tuesday,Canada,Gaming,Epic Gaming Moments,2,61,#gamers #play,8748155,4724,1695,207,202,444056,0.011559327,positive,1,19,2024-05-28,15:00:00,0.8855704129149342,0.9264561678760541,9.272839430165971e-07,0.03166666666666667
LinkedIn,live,2023-07-11 16:00:00,16,Tuesday,India,Technology,Fitness Motivation,2,58,#news #update,5154142,2299,600,139,11,211508,0.011578704,positive,0,40,2023-07-11,16:00:00,0.42180541844905123,0.45087272014120416,9.427980834209547e-07,0.06666666666666667
Facebook,carousel,2024-05-18 16:00:00,16,Saturday,Japan,Technology,Funny Moments,2,75,#fashion #ootd,4875011,4843,604,263,709,469771,0.012378345,neutral,1,19,2024-05-18,16:00:00,0.9368532312263803,0.9497940772700529,1.5830283949800148e-06,0.03166666666666667
TikTok,image,2023-11-27 04:00:00,4,Thursday,UK,Travel,Exploring Paris in 3 Days,3,155,#wanderlust #adventure,9417227,1429,326,34,65,40012,0.038187589,negative,0,0,2023-11-27,04:00:00,0.07979498838333982,0.2802510296136497,2.2247126818177208e-05,0.0
TikTok,live,2023-01-07 04:00:00,4,Thursday,Japan,Technology,Cooking Tutorial,2,47,#fitness #motivation,6364503,2056,1776,379,186,137752,0.019026809,neutral,0,58,2023-01-07,04:00:00,0.2747155663246483,0.40321631692488724,6.9061023470525076e-06,0.09666666666666668
YouTube,live,2022-09-09 18:00:00,18,Sunday,Australia,Music,Fitness Motivation,2,226,#sports #highlights,4310483,495,1858,154,47,42570,0.016349158,mixed,0,54,2022-09-09,18:00:00,0.08489634748272458,0.09707785840360855,4.762248625224298e-06,0.09000000000000001
Facebook,image,2022-07-31 02:00:00,2,Saturday,India,Technology,Breaking News,2,78,#tech #review,6353548,2897,979,23,721,159335,0.022851082,neutral,0,0,2022-07-31,02:00:00,0.3177580344411539,0.5681506177681899,9.967995739558528e-06,0.0
Instagram,story,2024-12-17 07:00:00,7,Thursday,Australia,Music,Daily Vlog,2,134,#education #learning,7833426,4604,403,212,189,414360,0.012078839,neutral,1,42,2024-12-17,07:00:00,0.8263483801489725,0.9029221415963914,1.3432297607256316e-06,0.07
LinkedIn,poll,2022-01-09 02:00:00,2,Sunday,Australia,Travel,Luxury Travel Destinations,2,244,#travel #explore,4923723,1953,628,21,891,123039,0.023285111,neutral,0,51,2022-01-09,02:00:00,0.24537377725926593,0.3830162777015101,1.0315499834390667e-05,0.085
Twitter,video,2022-02-25 08:00:00,8,Friday,Canada,Education,Cooking Tutorial,2,83,#fitness #motivation,7214950,386,1629,328,870,30494,0.051942941,mixed,0,209,2022-02-25,08:00:00,0.06081346535443278,0.07570111786624828,3.3260310605107284e-05,0.34833333333333333
LinkedIn,image,2022-09-24 09:00:00,9,Sunday,Brazil,Music,Life Hacks,2,161,#news #update,2507592,514,1698,153,68,42148,0.017438136,mixed,0,0,2022-09-24,09:00:00,0.08405476283067596,0.10080407923122181,5.634135789865635e-06,0.0
Instagram,live,2024-05-14 01:00:00,1,Saturday,UK,News,Breaking News,2,176,#funny #viral,1043087,4706,1634,296,757,112944,0.05098942,neutral,1,59,2024-05-14,01:00:00,0.22524155673217866,0.9229260639341047,3.2496876705509705e-05,0.09833333333333334
Instagram,video,2022-10-25 05:00:00,5,Friday,Germany,Sports,Top Football Highlights,3,198,#sports #football,9861885,2268,1648,20,293,215460,0.011978966,negative,1,319,2022-10-25,05:00:00,0.4296867988871938,0.4447930966856246,1.2632667249303973e-06,0.5316666666666667
Instagram,live,2023-07-28 09:00:00,9,Tuesday,India,Music,Travel Diary,2,11,#travel #explore,8499519,4521,1382,341,24,266739,0.018317463,mixed,1,36,2023-07-28,09:00:00,0.5319512997696612,0.8866444400862914,6.33816647259988e-06,0.060000000000000005
Instagram,poll,2023-08-14 22:00:00,22,Friday,India,Technology,Movie Review,2,58,#tech #review,5626179,45,1626,284,917,1710,0.728229106,positive,0,39,2023-08-14,22:00:00,0.003410212689580903,0.008825259854873504,0.0005747269213979912,0.065
TikTok,carousel,2023-08-23 18:00:00,18,Sunday,Australia,Comedy,Tech Review,2,97,#news #update,1440008,683,1881,38,466,45078,0.026331551,neutral,0,6,2023-08-23,18:00:00,0.08989799276077658,0.13394783290841342,1.2754623429036248e-05,0.01
LinkedIn,story,2024-09-17 12:00:00,12,Monday,Brazil,Health,Daily Fitness Routine,2,67,#healthy #habits,5478630,2156,717,488,648,181104,0.0181773,negative,0,19,2024-09-17,12:00:00,0.3611714379730175,0.4228280054912728,6.22594536192765e-06,0.03166666666666667
Facebook,carousel,2023-08-02 11:00:00,11,Tuesday,Germany,Technology,Breaking News,2,71,#sports #highlights,3946550,1438,1040,58,63,123668,0.012606231,mixed,0,9,2023-08-02,11:00:00,0.24662817713163224,0.28201608158462443,1.7654846782120504e-06,0.015000000000000001
Twitter,article,2024-01-18 13:00:00,13,Monday,India,Health,Daily Fitness Routine,2,281,#health #wellness,9741958,505,273,124,332,18685,0.051428877,neutral,0,0,2024-01-18,13:00:00,0.037263055032058,0.0990390272602471,3.284872671323418e-05,0.0
Twitter,story,2024-07-20 16:00:00,16,Wednesday,India,Health,Daily Fitness Routine,2,223,#health #wellness,4860373,3049,684,102,980,210381,0.01963571,negative,1,21,2024-07-20,16:00:00,0.4195578689162105,0.5979603843890959,7.393617215523015e-06,0.035
YouTube,video,2024-09-23 09:00:00,9,Monday,Canada,Fashion,Summer Outfit Trends,2,135,#fashion #ootd,7120786,3360,115,191,256,164640,0.023123037,positive,1,523,2024-09-23,09:00:00,0.32833767088456134,0.658952735830555,1.0185735743360286e-05,0.8716666666666667
TikTok,article,2022-05-11 04:00:00,4,Wednesday,India,News,Behind the Scenes,3,52,#sports #highlights,3097121,3536,860,237,276,300560,0.013471475,mixed,1,0,2022-05-11,04:00:00,0.5993997227955767,0.6934693077073936,2.4582398467121755e-06,0.0
Instagram,poll,2022-07-23 10:00:00,10,Monday,Germany,Music,Fitness Motivation,2,103,#education #learning,2150200,2822,692,208,343,67728,0.049801414,mixed,0,49,2022-07-23,10:00:00,0.13506835382452362,0.5534418513434006,3.154570305194012e-05,0.08166666666666667
Instagram,poll,2024-09-06 07:00:00,7,Sunday,India,Technology,Cooking Tutorial,2,22,#sports #highlights,5612640,1478,1114,220,134,90158,0.020319657,positive,0,6,2024-09-06,07:00:00,0.17979997407440645,0.28986075701117864,7.941217452254105e-06,0.01
Instagram,image,2022-12-30 08:00:00,8,Sunday,Germany,Fashion,Summer Outfit Trends,2,195,#streetwear #style,351886,2974,1105,21,735,71376,0.05225773,mixed,0,0,2022-12-30,08:00:00,0.14234347422896287,0.5832516179643067,3.351234553021163e-05,0.0
TikTok,live,2022-12-29 01:00:00,1,Wednesday,US,Technology,Travel Diary,2,126,#travel #explore,2884382,2314,323,367,445,159666,0.019578247,negative,0,11,2022-12-29,01:00:00,0.31841813993837687,0.453814473426162,7.347609626626098e-06,0.018333333333333333
Facebook,video,2022-10-10 14:00:00,14,Wednesday,India,News,Travel Diary,2,24,#education #learning,4851738,3029,960,123,536,233233,0.015812446,mixed,1,424,2022-10-10,14:00:00,0.46513107381814195,0.5940380466758187,4.3325316760214856e-06,0.7066666666666667
Instagram,story,2023-10-02 20:00:00,20,Tuesday,Brazil,Gaming,Virtual Reality Adventures,2,199,#gamers #play,9914588,42,113,465,705,4116,0.294389118,neutral,0,12,2023-10-02,20:00:00,0.008208441772114033,0.008236909197881937,0.00022737415849061245,0.02
YouTube,image,2022-09-20 10:00:00,10,Sunday,Japan,Health,10 Tips for a Healthier Life,2,88,#health #wellness,5811288,164,1792,162,12,4428,0.076315195,positive,0,0,2022-09-20,10:00:00,0.00883065601723055,0.032163169248872324,5.2773887037301946e-05,0.0
YouTube,video,2022-10-25 18:00:00,18,Thursday,Brazil,Comedy,Behind the Scenes,3,119,#travel #explore,328224,2204,1081,113,706,110200,0.027431693,neutral,0,91,2022-10-25,18:00:00,0.21976926221743598,0.4322416160031379,1.363544901879366e-05,0.15166666666666667
Facebook,article,2022-03-17 10:00:00,10,Thursday,Germany,Sports,Top Football Highlights,3,225,#cricket #worldcup,3634797,4925,153,156,805,152675,0.038552228,mixed,1,0,2022-03-17,10:00:00,0.3044761534396283,0.9658756618944891,2.253907400519811e-05,0.0
TikTok,image,2022-11-26 18:00:00,18,Tuesday,Canada,Education,Breaking News,2,197,#fashion #ootd,7981928,1294,1900,200,873,51760,0.04572941,neutral,0,0,2022-11-26,18:00:00,0.10322374784368862,0.25377525004902923,2.8285464532917528e-05,0.0
Instagram,image,2024-03-12 05:00:00,5,Wednesday,Canada,Music,Travel Diary,2,285,#music #trending,9073283,2469,1427,356,282,199989,0.015535777,negative,0,0,2024-03-12,05:00:00,0.39883334829040656,0.4842125907040596,4.1110174214138125e-06,0.0
LinkedIn,poll,2024-02-11 05:00:00,5,Thursday,Australia,Comedy,Travel Diary,2,31,#education #learning,2930333,3937,1651,397,466,204724,0.023446086,neutral,1,44,2024-02-11,05:00:00,0.40827624717062033,0.7721121788585997,1.0444384014170369e-05,0.07333333333333333
LinkedIn,poll,2022-11-02 21:00:00,21,Thursday,US,Comedy,Cooking Tutorial,2,250,#sports #highlights,5200706,2104,1878,127,153,94680,0.025179286,negative,0,45,2022-11-02,21:00:00,0.18881809207574263,0.4126299274367523,1.1832065706322425e-05,0.07500000000000001
Twitter,carousel,2022-01-14 07:00:00,7,Monday,Germany,News,Movie Review,2,157,#news #update,1406012,2937,1289,27,759,173283,0.021484961,negative,0,25,2022-01-14,07:00:00,0.34557420204014483,0.5759952931947441,8.874214813546259e-06,0.04166666666666667
Facebook,carousel,2023-10-04 07:00:00,7,Friday,Japan,Sports,Cricket World Cup Updates,2,208,#olympics #sports,6019571,253,314,167,143,21252,0.026490378,negative,0,12,2023-10-04,07:00:00,0.04238236261928266,0.04961757207295548,1.2881787818673581e-05,0.02
LinkedIn,poll,2023-11-11 12:00:00,12,Tuesday,Canada,Health,Daily Fitness Routine,2,249,#fitness #lifestyle,8677448,1681,1738,190,269,131118,0.016321052,positive,0,6,2023-11-11,12:00:00,0.2614855365102157,0.32967248480094136,4.73974563558685e-06,0.01
Twitter,poll,2024-10-16 14:00:00,14,Friday,Germany,Health,10 Tips for a Healthier Life,2,194,#mindfulness #meditation,1897758,2374,1064,171,33,80716,0.031938749,neutral,0,10,2024-10-16,14:00:00,0.16097001605392525,0.4655814865659933,1.7244010694713398e-05,0.016666666666666666
YouTube,article,2024-04-02 19:00:00,19,Wednesday,US,Music,Behind the Scenes,3,108,#news #update,3268019,2891,104,8,744,57820,0.063004791,negative,0,0,2024-04-02,19:00:00,0.11530906298922095,0.5669739164542067,4.211694961176102e-05,0.0
Twitter,live,2023-03-25 09:00:00,9,Monday,US,Education,Fitness Motivation,2,257,#travel #explore,2966337,1882,1924,37,444,56460,0.041851898,negative,0,41,2023-03-25,09:00:00,0.11259684704896947,0.36909197881937633,2.518094548520237e-05,0.06833333333333334
Instagram,image,2022-05-22 02:00:00,2,Thursday,US,Technology,Tech Review,2,167,#music #trending,1447990,484,1913,86,106,35816,0.018873719,neutral,0,0,2022-05-22,02:00:00,0.07142700449709334,0.09492057266130613,6.783531270286089e-06,0.0
Instagram,carousel,2022-05-20 02:00:00,2,Saturday,Canada,Sports,Cricket World Cup Updates,2,197,#olympics #sports,2296329,3331,1216,184,236,69951,0.053622484,mixed,0,11,2022-05-20,02:00:00,0.1395016303209788,0.6532653461463032,3.460503197152901e-05,0.018333333333333333
YouTube,poll,2024-10-20 09:00:00,9,Monday,Canada,Sports,Top Football Highlights,3,195,#cricket #worldcup,4193227,3213,1424,91,264,269892,0.013220054,positive,1,16,2024-10-20,09:00:00,0.5382392533429059,0.6301235536379682,2.256940332101881e-06,0.02666666666666667
Facebook,video,2024-10-31 04:00:00,4,Tuesday,Australia,Travel,Backpacking Asia,2,26,#luxurytravel #vacation,2645157,0,1301,310,928,0,1238.0,negative,1,267,2024-10-31,04:00:00,0.0,0.0,0.9911928810214213,0.445
TikTok,video,2022-10-08 14:00:00,14,Sunday,Brazil,Travel,Backpacking Asia,2,230,#wanderlust #adventure,3804153,259,353,103,462,9065,0.090889036,mixed,0,432,2022-10-08,14:00:00,0.018078115807632095,0.050794273386938614,6.444239173383728e-05,0.7200000000000001
Instagram,carousel,2023-03-31 15:00:00,15,Wednesday,UK,Technology,Tech Review,2,281,#education #learning,5029440,1328,1015,137,109,54448,0.028907785,mixed,0,29,2023-03-31,15:00:00,0.1085843628785386,0.2604432241616003,1.4817277915823498e-05,0.04833333333333334
Instagram,video,2024-09-12 02:00:00,2,Monday,Australia,Education,Top 10 Facts,3,21,#travel #explore,9378989,4767,1772,177,767,176379,0.032378955,mixed,1,354,2024-09-12,02:00:00,0.35174848185707025,0.9348891939595999,1.75964603871756e-05,0.5900000000000001
Twitter,story,2022-02-06 05:00:00,5,Monday,Japan,Fashion,Streetwear Collection 2024,2,229,#fashion #ootd,6264685,1046,1960,99,302,69036,0.020959775,negative,0,40,2022-02-06,05:00:00,0.13767686739058901,0.205138262404393,8.453726123738635e-06,0.06666666666666667
Twitter,image,2024-01-14 11:00:00,11,Monday,Japan,Music,Fitness Motivation,2,75,#education #learning,3194417,221,732,445,751,10829,0.130840259,negative,0,0,2024-01-14,11:00:00,0.021596019424252398,0.0433418317317121,9.642922576117644e-05,0.0
Twitter,carousel,2022-10-10 16:00:00,16,Thursday,Canada,News,Fitness Motivation,2,55,#music #trending,5367364,421,1603,108,344,12209,0.071498771,negative,0,26,2022-10-10,16:00:00,0.024348120893036986,0.08256520886448324,4.8917630744639935e-05,0.043333333333333335
LinkedIn,story,2024-05-03 21:00:00,21,Wednesday,US,Sports,Top Football Highlights,3,80,#sports #football,3476265,2951,708,197,356,227227,0.015420635,neutral,1,49,2024-05-03,21:00:00,0.45315344959964904,0.578740929594038,4.01882930382913e-06,0.08166666666666667
YouTube,poll,2022-10-21 10:00:00,10,Thursday,Australia,Travel,Backpacking Asia,2,295,#travel #explore,4802817,1295,1279,67,252,104895,0.015386669,negative,0,9,2022-10-21,10:00:00,0.20918962577402855,0.2539713669346931,3.991634521717639e-06,0.015000000000000001
Facebook,article,2022-09-25 21:00:00,21,Monday,Japan,Gaming,Epic Gaming Moments,2,56,#gamers #play,6553209,278,650,150,107,27522,0.019438288,positive,0,0,2022-09-25,21:00:00,0.05488647581441264,0.05452049421455187,7.235551847978565e-06,0.0
Twitter,article,2024-11-17 22:00:00,22,Sunday,India,Fashion,Summer Outfit Trends,3,275,#fashion #ootd,1307714,4998,823,93,385,124950,0.043825179,neutral,1,0,2024-11-17,22:00:00,0.24918483951060458,0.9801921945479506,2.6760847352944993e-05,0.0
Facebook,story,2022-01-29 13:00:00,13,Thursday,India,Music,Funny Moments,2,141,#funny #viral,9311847,3472,946,209,204,298592,0.013011022,positive,1,55,2022-01-29,13:00:00,0.5954749867879187,0.6809178270249068,2.089579450799129e-06,0.09166666666666667
Twitter,video,2023-10-19 13:00:00,13,Thursday,Australia,Comedy,Life Hacks,2,12,#music #trending,7597713,962,660,412,709,57720,0.036087386,mixed,0,387,2023-10-19,13:00:00,0.1151096353465554,0.18866444400862914,2.0565605209071027e-05,0.645
Instagram,image,2022-07-29 11:00:00,11,Tuesday,Japan,Health,Mindfulness & Meditation,2,170,#health #wellness,6904384,518,98,147,34,32116,0.021764175,neutral,0,0,2022-07-29,11:00:00,0.064048181718468,0.10158854677387723,9.0977667152267e-06,0.0
Facebook,poll,2023-08-07 05:00:00,5,Friday,Japan,News,Behind the Scenes,3,240,#education #learning,1021298,2081,587,54,537,199776,0.013374913,neutral,0,21,2023-08-07,05:00:00,0.3984085674115289,0.4081192390664836,2.3809277537294916e-06,0.035
LinkedIn,reel,2024-02-04 22:00:00,22,Friday,Japan,Gaming,Virtual Reality Adventures,2,24,#vr #gamingcommunity,5511654,3387,281,199,232,125319,0.030466007,neutral,0,10,2024-02-04,22:00:00,0.24992072751204045,0.6642478917434791,1.6064863965736126e-05,0.016666666666666666
Twitter,image,2023-07-05 19:00:00,19,Tuesday,Japan,Music,Life Hacks,2,78,#education #learning,8508147,3786,1906,228,848,291522,0.016677929,positive,1,0,2023-07-05,19:00:00,0.5813754524514644,0.7424985291233575,5.0254781991976e-06,0.0
TikTok,live,2024-09-26 02:00:00,2,Tuesday,Canada,Gaming,Virtual Reality Adventures,3,215,#vr #gamingcommunity,8844856,689,402,168,288,54431,0.02103542,positive,0,7,2024-09-26,02:00:00,0.10855046017928546,0.13512453422239654,8.51429107965996e-06,0.011666666666666667
YouTube,video,2024-12-02 03:00:00,3,Saturday,Australia,Comedy,Funny Moments,2,66,#music #trending,3521763,2077,1132,469,639,95542,0.033335776,mixed,0,368,2024-12-02,03:00:00,0.19053715835551968,0.4073347715238282,1.8362536422466753e-05,0.6133333333333334
Instagram,image,2023-02-04 00:00:00,0,Thursday,India,Comedy,Travel Diary,2,100,#fashion #ootd,2455236,338,699,172,197,29406,0.024041895,negative,0,0,2023-02-04,00:00:00,0.0586436926022316,0.06628750735438321,1.0921416809762006e-05,0.0
Twitter,article,2024-05-05 02:00:00,2,Saturday,US,Comedy,Travel Diary,2,159,#funny #viral,8360427,2889,198,183,335,118449,0.028763191,positive,0,0,2024-05-05,02:00:00,0.23622004846091718,0.566581682682879,1.470150913749726e-05,0.0
Facebook,reel,2024-11-27 22:00:00,22,Thursday,Japan,News,Breaking News,2,121,#fitness #motivation,7208221,2106,1326,371,137,90558,0.02886516,mixed,0,49,2024-11-27,22:00:00,0.18059768464506867,0.41302216120808,1.4783150329781506e-05,0.08166666666666667
Twitter,live,2024-01-08 13:00:00,13,Wednesday,Brazil,Gaming,Beginner’s Guide to eSports,2,133,#gaming #esports,6693603,1033,326,106,356,60947,0.024529107,negative,0,30,2024-01-08,13:00:00,0.12154516537537269,0.2025887428907629,1.1311501723561215e-05,0.05
Instagram,reel,2022-08-16 16:00:00,16,Friday,India,Music,Fitness Motivation,2,40,#news #update,9870860,3312,153,254,65,308016,0.01178831,neutral,1,17,2022-08-16,16:00:00,0.6142690478327202,0.64953912531869,1.110618536204951e-06,0.028333333333333335
YouTube,image,2022-08-02 03:00:00,3,Thursday,Japan,Health,10 Tips for a Healthier Life,2,212,#healthy #habits,8282244,3877,551,395,433,329545,0.014277218,negative,1,0,2022-08-02,03:00:00,0.6572038250221863,0.7603451657187684,3.1033557073628064e-06,0.0
YouTube,article,2024-09-18 09:00:00,9,Wednesday,Germany,Health,Healthy Eating Habits,3,297,#healthy #habits,2656661,1486,1668,28,50,87674,0.017838608,positive,0,0,2024-09-18,09:00:00,0.1748461914305942,0.2914296920964895,5.95477256728285e-06,0.0
YouTube,poll,2023-12-08 06:00:00,6,Sunday,UK,Music,Daily Vlog,2,215,#fitness #motivation,5758394,547,404,126,73,13675,0.054548113,mixed,0,59,2023-12-08,06:00:00,0.027271730134513946,0.10727593645812904,3.534613421998564e-05,0.09833333333333334
TikTok,article,2024-10-08 15:00:00,15,Saturday,Brazil,Education,Tech Review,2,126,#sports #highlights,773421,2158,461,519,393,79846,0.038448533,neutral,0,0,2024-10-08,15:00:00,0.15923499556273496,0.4232202392626005,2.2456050895881412e-05,0.0
Instagram,story,2023-02-07 09:00:00,9,Friday,US,Health,10 Tips for a Healthier Life,2,187,#fitness #lifestyle,8686169,1185,131,57,254,58065,0.025763786,neutral,0,22,2023-02-07,09:00:00,0.11579766071375154,0.23239850951166896,1.2300043982956904e-05,0.03666666666666667
TikTok,poll,2023-06-01 10:00:00,10,Wednesday,UK,Gaming,Epic Gaming Moments,2,96,#gamers #play,9587177,1512,790,54,102,60480,0.027578909,negative,0,58,2023-06-01,10:00:00,0.12061383828412457,0.2965287311237497,1.3753317094025517e-05,0.09666666666666668
TikTok,reel,2023-07-22 16:00:00,16,Wednesday,US,Education,Top 10 Facts,3,211,#sports #highlights,6944378,1341,873,35,227,108621,0.0147576,negative,0,43,2023-07-22,16:00:00,0.21662029973974695,0.26299274367523046,3.4879722009234974e-06,0.07166666666666667
Twitter,carousel,2024-12-10 07:00:00,7,Tuesday,US,Education,Daily Vlog,2,276,#fashion #ootd,9081672,5044,83,484,13,146276,0.037880186,positive,1,26,2024-12-10,07:00:00,0.29171477858545974,0.989213571288488,2.2001005473143384e-05,0.043333333333333335
Instagram,carousel,2024-09-13 17:00:00,17,Monday,UK,Sports,Cricket World Cup Updates,2,190,#cricket #worldcup,4778177,5042,1422,441,1009,161344,0.04023676,neutral,1,7,2024-09-13,17:00:00,0.3217645357823048,0.9888213375171602,2.388778980040022e-05,0.011666666666666667
Instagram,poll,2022-04-13 17:00:00,17,Monday,Australia,Sports,Top Football Highlights,2,134,#olympics #sports,5389158,2353,753,169,13,223535,0.011340455,negative,0,35,2022-04-13,17:00:00,0.4457905810324369,0.46146303196705235,7.520446934639165e-07,0.058333333333333334
Twitter,carousel,2024-05-05 08:00:00,8,Monday,Brazil,Sports,Olympics Moments,3,201,#olympics #sports,445810,2118,627,110,698,59304,0.049338167,neutral,0,13,2024-05-05,08:00:00,0.1182685692063777,0.4153755638360463,3.117480564780652e-05,0.021666666666666667
LinkedIn,poll,2022-07-01 04:00:00,4,Wednesday,Canada,Health,Healthy Eating Habits,2,157,#mindfulness #meditation,9833285,2952,1132,28,393,256824,0.013133457,mixed,1,14,2022-07-01,04:00:00,0.5121780489993718,0.5789370464797019,2.1876066882666084e-06,0.023333333333333334
TikTok,video,2022-06-13 14:00:00,14,Thursday,India,Travel,Top Beaches to Visit,2,96,#luxurytravel #vacation,753226,1375,220,202,879,79750,0.030795852,mixed,0,348,2022-06-13,14:00:00,0.15904354502577603,0.26966071778780154,1.6328953434780606e-05,0.5800000000000001
YouTube,live,2024-09-24 15:00:00,15,Saturday,US,Travel,Backpacking Asia,3,50,#travel #explore,4422749,2033,1927,487,601,87419,0.035701213,positive,0,32,2024-09-24,15:00:00,0.17433765094179704,0.39870562855461855,2.0256416885678787e-05,0.05333333333333334
